block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_light_text.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,9,2300,13,0,4,1,500,690,33,0,0,0,-1,90,2,1,1,0,0,0,2,0.690212800167501,None,0,0,0,0,0.07802349980920553,,0.07336430065333843,0.07802349980920553,0.20308919996023178,0.2110462998971343,0.2238528998568654,0.2238528998568654,0.2238528998568654,0.2238528998568654,0.2238528998568654,0.2238528998568654,0.2238528998568654,0.9223862001672387,2,0.690212800167501,None,,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,2,15,7800,32,0,5,1,500,1030,18,1,2,1,1,60,1,1,1,1,1,0,3,0.6521739000454545,None,0,1,1,1,0.9237974006682634,,0.9225353002548218,0.9237974006682634,1.1072110002860427,1.110062500461936,1.1238008001819253,1.1238008001819253,1.1238008001819253,1.1238008001819253,1.1238008001819253,1.1238008001819253,1.1238008001819253,1.7822417998686433,3,0.6521739000454545,None,1.1238008001819253,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,3,21,5500,13,1,4,0,100,690,33,1,3,1,0,60,3,1,0,2,2,0,1,0.4888909002766013,None,0,2,2,2,1.7862459998577833,,1.7823673002421856,1.7862459998577833,1.9696484999731183,1.9723976999521255,1.982074299827218,1.982074299827218,1.982074299827218,1.982074299827218,1.982074299827218,1.982074299827218,1.982074299827218,2.473871700465679,1,0.4888909002766013,None,1.982074299827218,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,4,15,5500,13,0,5,1,500,870,33,0,3,2,1,60,1,0,-1,3,3,0,2,2.5501210000365973,None,0,3,3,3,2.4778997004032135,,2.4739997005090117,2.4778997004032135,2.6615005005151033,2.6624873001128435,2.6739007998257875,2.6739007998257875,2.6739007998257875,2.6739007998257875,2.6739007998257875,2.6739007998257875,2.6739007998257875,5.2364033004269,2,2.5501210000365973,None,2.6739007998257875,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,5,9,5500,32,1,4,0,500,1030,33,-1,1,3,1,30,3,0,-1,4,4,0,3,5.733849399723113,None,0,4,4,4,5.240388600155711,,5.236533400602639,5.240388600155711,5.4239042000845075,5.424867000430822,5.441085699945688,5.441085699945688,5.441085699945688,5.441085699945688,5.441085699945688,5.441085699945688,5.441085699945688,11.178477800451219,3,5.733849399723113,None,5.441085699945688,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,6,15,2300,24,1,3,1,300,1030,33,-1,2,2,1,90,2,0,-1,5,5,0,2,0.4344750000163913,None,0,5,5,5,11.181880299933255,,11.178611800074577,11.181880299933255,11.365820900537074,11.366791499778628,11.382446200586855,11.382446200586855,11.382446200586855,11.382446200586855,11.382446200586855,11.382446200586855,11.382446200586855,11.820075800642371,2,0.4344750000163913,None,11.382446200586855,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,7,21,5500,32,0,4,1,100,1030,18,-1,0,2,1,90,0,1,0,6,6,0,1,0.2869020998477936,None,0,6,6,6,11.824043500237167,,11.820204500108957,11.824043500237167,12.00692000053823,12.007873000577092,12.024074800312519,12.024074800312519,12.024074800312519,12.024074800312519,12.024074800312519,12.024074800312519,12.024074800312519,12.311731500551105,1,0.2869020998477936,None,12.024074800312519,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,8,9,7800,24,0,5,0,300,690,18,0,2,3,0,30,1,1,0,7,7,0,3,2.323193699121475,None,0,7,7,7,12.315684100612998,,12.311863999813795,12.315684100612998,12.499090200290084,12.500049900263548,12.515730599872768,12.515730599872768,12.515730599872768,12.515730599872768,12.515730599872768,12.515730599872768,12.515730599872768,14.840788200497627,3,2.323193699121475,None,12.515730599872768,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,9,9,2300,32,0,5,0,300,1030,48,0,3,0,-1,60,2,1,-1,8,8,0,2,0.5241780001670122,None,0,8,8,8,14.844725800678134,,14.840920300222933,14.844725800678134,15.027572100050747,15.028549700044096,15.044743000529706,15.044743000529706,15.044743000529706,15.044743000529706,15.044743000529706,15.044743000529706,15.044743000529706,15.569869900122285,2,0.5241780001670122,None,15.044743000529706,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,10,15,7800,13,1,4,0,100,870,18,1,1,0,-1,30,1,0,-1,9,9,0,2,0.28459809999912977,None,0,9,9,9,15.573858099989593,,15.569999200291932,15.573858099989593,15.757269499823451,15.75824740063399,15.773320999927819,15.773320999927819,15.773320999927819,15.773320999927819,15.773320999927819,15.773320999927819,15.773320999927819,16.061526800505817,2,0.28459809999912977,None,15.773320999927819,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,11,15,5500,24,0,3,1,100,690,48,1,2,3,0,60,0,0,0,10,10,0,2,0.24540080036967993,None,0,10,10,10,16.06549230031669,,16.061661300249398,16.06549230031669,16.248899900354445,16.249856499955058,16.265507199801505,16.265507199801505,16.265507199801505,16.265507199801505,16.265507199801505,16.265507199801505,16.265507199801505,16.515694100409746,2,0.24540080036967993,None,16.265507199801505,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
1,12,21,2300,32,1,3,1,300,870,33,1,1,2,0,30,2,1,1,11,11,0,1,0.08876150008291006,None,0,11,11,11,16.519638299942017,,16.5158226005733,16.519638299942017,16.702652799896896,16.703915600664914,16.719172900542617,16.719172900542617,16.719172900542617,16.719172900542617,16.719172900542617,16.719172900542617,16.719172900542617,16.819662800058722,1,0.08876150008291006,None,16.719172900542617,492881,001,2025-11-10_01h40.51.262,v4,,2025.1.1,239.9934752569257,2025-11-10 01h40.53.482164 -0300,
